@RELATION svmforspeakerrecognition
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {tedx1,Nauman,tedx2,sentdex}

@DATA
0.057935,0.014317,2.969118,0.121117,0.160270,0.362333,0.014017,0.073672,-29.814029,1.842375,-0.109923,0.452520,-0.170579,0.399719,0.014335,-0.055414,-0.027809,-0.118359,-0.190327,-0.077300,-0.179012,0.024247,0.005850,0.024318,0.015720,0.017734,0.009212,0.023286,0.003491,0.005588,0.027019,0.021855,0.005417,0.022058,0.043630,0.017944,0.419884,0.048259,0.033007,0.400444,0.012088,0.063693,3.452643,1.161863,0.691385,0.455908,0.453699,0.350912,0.318545,0.274403,0.262989,0.232841,0.253585,0.237845,0.227002,0.030223,0.008103,0.029578,0.022899,0.021282,0.011768,0.027193,0.004854,0.006493,0.029790,0.026424,0.006825,0.014069,240.000000,0.082418,tedx1
0.061284,0.013136,2.987942,0.127542,0.168645,0.365223,0.012025,0.072308,-31.278327,1.743390,-0.199726,0.529284,-0.133849,0.386245,0.011485,-0.043324,-0.038964,-0.123165,-0.164942,-0.104645,-0.192499,0.021640,0.008064,0.023752,0.014406,0.017923,0.008601,0.024637,0.004811,0.005768,0.027915,0.020420,0.004986,0.020302,0.035886,0.016144,0.389232,0.035695,0.025425,0.325413,0.008693,0.049652,2.440254,0.911442,0.535336,0.413657,0.474485,0.311548,0.297590,0.228900,0.232607,0.221475,0.255214,0.210459,0.213571,0.024825,0.011148,0.031765,0.017879,0.021642,0.010443,0.024710,0.006802,0.005947,0.026949,0.023163,0.005362,0.012171,300.000000,0.097015,tedx1
0.057266,0.015398,2.965354,0.119819,0.158593,0.361554,0.014390,0.074027,-29.443954,1.862267,-0.092014,0.437221,-0.177952,0.402449,0.014899,-0.057827,-0.025578,-0.117403,-0.195409,-0.071835,-0.176320,0.024767,0.005407,0.024430,0.015982,0.017695,0.009334,0.023027,0.003226,0.005551,0.026837,0.022140,0.005502,0.022408,0.045179,0.019365,0.426036,0.050768,0.034523,0.415379,0.012767,0.066532,3.655271,1.211949,0.722612,0.464386,0.449554,0.358797,0.322746,0.283514,0.269074,0.235123,0.253266,0.243331,0.229695,0.031301,0.007494,0.029139,0.023903,0.021209,0.012033,0.027689,0.004464,0.006602,0.030356,0.027075,0.007117,0.014448,240.000000,0.085342,tedx1
0.058452,0.016707,2.947423,0.120828,0.158631,0.380650,0.014864,0.076427,-29.249253,1.862608,-0.061337,0.424004,-0.161719,0.380577,-0.008727,-0.062837,-0.048539,-0.124791,-0.198957,-0.076977,-0.189442,0.026280,0.005144,0.025394,0.016334,0.016690,0.009055,0.022777,0.003234,0.005639,0.026653,0.022130,0.005298,0.022750,0.047343,0.020512,0.446124,0.052561,0.034879,0.436292,0.013202,0.069592,3.543396,1.231329,0.735258,0.468158,0.448902,0.363605,0.328050,0.285828,0.275715,0.242356,0.258840,0.247875,0.230318,0.033213,0.007127,0.030571,0.024459,0.020141,0.011532,0.027987,0.004542,0.006653,0.031264,0.026532,0.006759,0.014752,240.000000,0.089588,tedx1
0.058558,0.015877,2.946965,0.120289,0.157738,0.378050,0.014966,0.078869,-28.879512,1.828754,-0.138470,0.476406,-0.162872,0.388835,0.017026,-0.086782,-0.039945,-0.097261,-0.197719,-0.062127,-0.181205,0.024646,0.005202,0.021979,0.015146,0.016860,0.009540,0.023268,0.003318,0.005320,0.026136,0.023699,0.005663,0.022123,0.048068,0.019480,0.431446,0.054650,0.035687,0.449617,0.013229,0.072030,3.605699,1.267174,0.762892,0.463802,0.452899,0.378136,0.323531,0.282725,0.273881,0.240940,0.252281,0.243122,0.230601,0.031035,0.007304,0.025903,0.022752,0.020822,0.012649,0.028949,0.004702,0.006122,0.030373,0.028724,0.007090,0.014424,240.000000,0.093291,tedx1
0.057969,0.014711,2.963804,0.120740,0.159197,0.363976,0.014295,0.077040,-29.423420,1.796047,-0.119003,0.491384,-0.185289,0.407507,0.016458,-0.051505,-0.040134,-0.117682,-0.167298,-0.075553,-0.182383,0.028611,0.004859,0.019261,0.013604,0.015816,0.010024,0.022786,0.003184,0.005321,0.027170,0.024642,0.005865,0.022087,0.043499,0.018708,0.419423,0.050705,0.036410,0.414113,0.012546,0.066348,3.682834,1.188457,0.754209,0.462476,0.445647,0.366705,0.324552,0.262518,0.274038,0.236920,0.250355,0.233186,0.227838,0.037076,0.006086,0.021730,0.020740,0.019192,0.013709,0.027198,0.004647,0.006140,0.030000,0.028918,0.007317,0.014089,240.000000,0.098007,tedx1
0.055331,0.018198,2.992022,0.117594,0.156728,0.348148,0.014449,0.077871,-28.670600,1.867362,-0.147441,0.423742,-0.194069,0.334164,0.028210,-0.089964,-0.074082,-0.070281,-0.245317,-0.057329,-0.197428,0.032186,0.004027,0.020306,0.014235,0.016943,0.010691,0.020282,0.003121,0.006239,0.025722,0.025070,0.006912,0.022933,0.045475,0.023826,0.365241,0.052561,0.038991,0.416475,0.012134,0.072138,4.185897,1.279559,0.820153,0.488074,0.472868,0.370005,0.330450,0.289445,0.280411,0.253634,0.277691,0.263983,0.242850,0.045083,0.004877,0.023251,0.022090,0.021162,0.016169,0.025309,0.004542,0.007319,0.028564,0.029499,0.008598,0.014999,400.000000,0.099668,tedx1
0.058355,0.004127,3.074530,0.129943,0.159120,0.471445,0.009713,0.087119,-28.496583,2.559494,-0.145510,-0.579999,-0.404155,0.081196,0.072558,-0.003816,-0.058747,-0.011748,-0.027147,0.029069,-0.079888,0.024360,0.008877,0.014178,0.017879,0.028447,0.023951,0.027412,0.004082,0.009046,0.012564,0.012725,0.013804,0.022147,0.044186,0.004791,0.234854,0.044700,0.024985,0.475404,0.006318,0.087897,2.204066,0.652820,0.638833,0.410475,0.408529,0.337355,0.295006,0.250238,0.262442,0.234754,0.217056,0.210655,0.216791,0.024484,0.011161,0.014578,0.019947,0.026646,0.026416,0.024701,0.006308,0.011499,0.012844,0.013462,0.015375,0.009850,240.000000,0.090292,Nauman
0.054458,0.012678,3.086967,0.125136,0.155270,0.467759,0.010801,0.083993,-26.320397,2.611223,-0.055217,-0.668511,-0.413137,0.151984,-0.013253,-0.064864,-0.138047,-0.010916,0.058989,0.101618,0.007102,0.014291,0.009566,0.009787,0.016237,0.033446,0.033042,0.032494,0.004983,0.013296,0.011481,0.008641,0.009084,0.023983,0.047691,0.012796,0.232150,0.049117,0.026909,0.524701,0.007451,0.093880,2.017177,0.680475,0.751740,0.445984,0.442659,0.389723,0.291097,0.299528,0.237558,0.241355,0.213016,0.207126,0.201944,0.016856,0.013781,0.011114,0.021655,0.033434,0.039567,0.031357,0.008319,0.019055,0.012175,0.009158,0.010773,0.011477,240.000000,0.106796,Nauman
0.059134,0.004200,3.072043,0.130904,0.159889,0.472179,0.009480,0.087746,-28.598451,2.549279,-0.163599,-0.562314,-0.402367,0.067052,0.089711,0.008394,-0.042889,-0.011916,-0.044374,0.014564,-0.097291,0.026374,0.008739,0.015056,0.018207,0.027447,0.022133,0.026395,0.003902,0.008195,0.012781,0.013541,0.014748,0.021780,0.043485,0.004990,0.235394,0.043817,0.024600,0.465545,0.006095,0.086701,2.241569,0.647339,0.616279,0.403403,0.401718,0.326896,0.295799,0.240392,0.267430,0.233447,0.217874,0.211369,0.219769,0.026009,0.010637,0.015271,0.019605,0.025289,0.023786,0.023370,0.005906,0.009988,0.012977,0.014322,0.016296,0.009525,240.000000,0.093183,Nauman
